Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
4117143,1,3,3,2,0,2,0,2,2,1,9,0,300,800,1,5571,,0,,1,300
4117143,1,3,3,2,0,2,0,2,2,2,0,0,830,1330,0,5644,0,30,21.61,1,300
4117143,1,3,3,2,0,2,0,2,2,3,1,0,1500,1945,0,3034,0,90,121.79,1,285
4117143,1,3,3,2,0,2,0,2,2,4,9,0,2100,2700,1,5571,0,75,136.91,1,360
4117143,1,3,3,2,0,2,1,1,2,1,9,0,300,830,1,5571,,0,,1,330
4117143,1,3,3,2,0,2,1,1,2,2,0,0,835,1300,0,5571,1,5,0,1,305
4117143,1,3,3,2,0,2,1,1,2,3,9,0,1305,1930,1,5571,1,5,0,1,385
4117143,1,3,3,2,0,2,1,1,2,4,7,0,1937,2300,0,5575,3,7,4.52,1,243
4117143,1,3,3,2,0,2,1,1,2,5,9,0,2307,2700,1,5571,3,7,4.52,1,273
4118169,1,3,2,0,0,1,0,2,0,1,9,0,300,825,1,5527,,0,,1,325
4118169,1,3,2,0,0,1,0,2,0,2,0,0,900,1800,0,5656,0,35,20.76,1,540
4118169,1,3,2,0,0,1,0,2,0,3,9,0,1830,1930,1,5527,0,30,20.76,1,60
4118169,1,3,2,0,0,1,0,2,0,4,4,0,1935,1950,0,5527,0,5,0,1,15
4118169,1,3,2,0,0,1,0,2,0,5,9,0,1955,2700,1,5527,0,5,0,1,465
4118169,1,3,2,0,0,1,1,2,0,1,9,0,300,825,1,5527,,0,,1,325
4118169,1,3,2,0,0,1,1,2,0,2,0,0,835,1745,0,5525,1,10,3.73,1,550
4118169,1,3,2,0,0,1,1,2,0,3,9,0,1755,1930,1,5527,1,10,3.73,1,135
4118169,1,3,2,0,0,1,1,2,0,4,4,0,1935,1950,0,5527,3,5,0,1,15
4118169,1,3,2,0,0,1,1,2,0,5,9,0,1955,2700,1,5527,3,5,0,1,465
4119002,1,4,3,1,0,2,0,0,1,1,9,0,300,500,1,5652,,0,,1,120
4119002,1,4,3,1,0,2,0,0,1,2,0,0,515,2000,0,5692,0,15,12.83,1,925
4119002,1,4,3,1,0,2,0,0,1,3,9,0,2015,2700,1,5652,0,15,12.83,1,445
4119002,1,4,3,1,0,2,1,0,1,1,9,0,300,815,1,5652,,0,,1,315
4119002,1,4,3,1,0,2,1,0,1,2,0,0,830,1145,0,5651,0,15,1.83,1,195
4119002,1,4,3,1,0,2,1,0,1,3,9,0,1155,2700,1,5652,0,10,1.83,1,945
4119113,1,4,2,2,0,1,1,0,2,1,9,0,300,2700,1,5628,,0,,1,1440
4119113,1,4,2,2,0,1,0,0,2,1,9,0,300,1030,1,5628,,0,,1,450
4119113,1,4,2,2,0,1,0,0,2,2,3,0,1045,1050,0,5671,0,15,7.11,1,5
4119113,1,4,2,2,0,1,0,0,2,3,9,0,1120,1355,1,5628,0,30,7.11,1,155
4119113,1,4,2,2,0,1,0,0,2,4,3,0,1405,1435,0,5671,0,10,7.11,1,30
